"borocode","boroname","countyfips","nta2020","ntaname","ntaabbrev","ntatype","cdta2020","cdtaname","shape_leng","shape_area"
"1","Manhattan","061","MN0701","Upper West Side-Lincoln Square","UWS_LclnSq","0","MN07","MN07 Upper West Side (CD 7 Approximation)","19952.4206278","15797449.5649"
"1","Manhattan","061","MN0702","Upper West Side (Central)","UWS_C","0","MN07","MN07 Upper West Side (CD 7 Approximation)","24906.0097087","25410668.9385"
"1","Manhattan","061","MN0703","Upper West Side-Manhattan Valley","UWS_MnVly","0","MN07","MN07 Upper West Side (CD 7 Approximation)","14867.8730441","13200450.2886"
"1","Manhattan","061","MN0801","Upper East Side-Lenox Hill-Roosevelt Island","UES_LnxHl","0","MN08","MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)","38425.3810451","21500958.0737"
"1","Manhattan","061","MN0802","Upper East Side-Carnegie Hill","UES_CrngHl","0","MN08","MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)","23778.4102558","20065364.2826"
"1","Manhattan","061","MN0803","Upper East Side-Yorkville","UES_Yrkvl","0","MN08","MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)","18113.2939923","13645033.1396"
"1","Manhattan","061","MN0901","Morningside Heights","MrngsdHts","0","MN09","MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent)","17757.8076596","15922767.6743"
"1","Manhattan","061","MN0902","Manhattanville-West Harlem","Mnhttnvl","0","MN09","MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent)","17357.2460682","10734805.1646"
"1","Manhattan","061","MN0903","Hamilton Heights-Sugar Hill","HmltnHts","0","MN09","MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent)","17103.2131521","15983586.1467"
"1","Manhattan","061","MN1001","Harlem (South)","Hrlm_S","0","MN10","MN10 Harlem (CD 10 Equivalent)","16663.3393423","14426413.3"
"1","Manhattan","061","MN1002","Harlem (North)","Hrlm_N","0","MN10","MN10 Harlem (CD 10 Equivalent)","30930.7148541","23792907.7635"
"1","Manhattan","061","MN1101","East Harlem (South)","EstHrlm_S","0","MN11","MN11 East Harlem (CD 11 Equivalent)","21636.7245234","16653939.6731"
"1","Manhattan","061","MN1102","East Harlem (North)","EstHrlm_N","0","MN11","MN11 East Harlem (CD 11 Equivalent)","37229.5260912","26119317.1689"
"1","Manhattan","061","MN1191","Randall's Island","RndllsIsl","9","MN11","MN11 East Harlem (CD 11 Equivalent)","28220.9641658","23466535.4945"
"1","Manhattan","061","MN1201","Washington Heights (South)","WshHts_S","0","MN12","MN12 Washington Heights-Inwood (CD 12 Equivalent)","22198.2609092","21027674.3247"
"1","Manhattan","061","MN1202","Washington Heights (North)","WshHts_N","0","MN12","MN12 Washington Heights-Inwood (CD 12 Equivalent)","26727.3692782","24771531.4082"
"1","Manhattan","061","MN1203","Inwood","Inwd","0","MN12","MN12 Washington Heights-Inwood (CD 12 Equivalent)","23742.696351","14436881.4041"
"1","Manhattan","061","MN1291","Highbridge Park","HghbrdgPk","9","MN12","MN12 Washington Heights-Inwood (CD 12 Equivalent)","27514.4520681","7753305.25138"
"1","Manhattan","061","MN1292","Inwood Hill Park","InwdHlPk","9","MN12","MN12 Washington Heights-Inwood (CD 12 Equivalent)","23769.6972557","10007466.6784"
"1","Manhattan","061","MN6491","Central Park","CntrlPk","9","MN64","MN64 Central Park (JIA 64 Equivalent)","32721.0974785","38312377.705"
"4","Queens","081","QN0101","Astoria (North)-Ditmars-Steinway","Astr_N","0","QN01","QN01 Astoria-Queensbridge (CD 1 Equivalent)","47392.9789879","58301779.7098"
"4","Queens","081","QN0102","Old Astoria-Hallets Point","OldAstr","0","QN01","QN01 Astoria-Queensbridge (CD 1 Equivalent)","15102.2622804","11091067.3494"
"4","Queens","081","QN0103","Astoria (Central)","Astr_C","0","QN01","QN01 Astoria-Queensbridge (CD 1 Equivalent)","21571.9915364","21084822.1142"
"4","Queens","081","QN0104","Astoria (East)-Woodside (North)","Astr_E","0","QN01","QN01 Astoria-Queensbridge (CD 1 Equivalent)","24360.9286823","26041929.9836"
"4","Queens","081","QN0105","Queensbridge-Ravenswood-Dutch Kills","Qnsbrdg","0","QN01","QN01 Astoria-Queensbridge (CD 1 Equivalent)","27093.7842312","27721573.6097"
"2","Bronx","005","QN0151","Rikers Island","RkrsIsl","5","QN01","QN01 Astoria-Queensbridge (CD 1 Equivalent)","18897.4877455","18163733.8401"
"4","Queens","081","QN0161","Sunnyside Yards (North)","SnnysdYd_N","6","QN01","QN01 Astoria-Queensbridge (CD 1 Equivalent)","16111.6114779","4500282.01838"
"4","Queens","081","QN0171","St. Michael's Cemetery","StMchlCem","7","QN01","QN01 Astoria-Queensbridge (CD 1 Equivalent)","8656.46241913","4388717.08612"
"4","Queens","081","QN0191","Astoria Park","AstrPk","9","QN01","QN01 Astoria-Queensbridge (CD 1 Equivalent)","8570.89494423","2674946.31308"
"4","Queens","081","QN0201","Long Island City-Hunters Point","LIC","0","QN02","QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation)","37374.7359056","27595430.2612"
"4","Queens","081","QN0202","Sunnyside","Snnysd","0","QN02","QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation)","34952.1551097","47701718.3248"
"4","Queens","081","QN0203","Woodside","Wdsd","0","QN02","QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation)","31737.224438","32949977.3079"
"4","Queens","081","QN0261","Sunnyside Yards (South)","SnnysdYd_S","6","QN02","QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation)","22732.905944","8783519.49551"
"4","Queens","081","QN0271","Calvary & Mount Zion Cemeteries","ClvryCem","7","QN02","QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation)","22214.078434","14291819.683"
"4","Queens","081","QN0301","Jackson Heights","JcksnHts","0","QN03","QN03 Jackson Heights-East Elmhurst (CD 3 Approximation)","27113.8071171","39316390.9008"
"4","Queens","081","QN0302","East Elmhurst","EstElmhrst","0","QN03","QN03 Jackson Heights-East Elmhurst (CD 3 Approximation)","24418.5675871","28763854.3062"
"4","Queens","081","QN0303","North Corona","NrthCrna","0","QN03","QN03 Jackson Heights-East Elmhurst (CD 3 Approximation)","15547.7125587","13961463.7887"
"4","Queens","081","QN0401","Elmhurst","Elmhrst","0","QN04","QN04 Elmhurst-Corona (CD 4 Approximation)","31838.0546906","42102083.8134"
"4","Queens","081","QN0402","Corona","Crna","0","QN04","QN04 Elmhurst-Corona (CD 4 Approximation)","22083.4236265","24025748.0235"
"4","Queens","081","QN0501","Maspeth","Mspth","0","QN05","QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation)","53783.9659973","58314662.1408"
"4","Queens","081","QN0502","Ridgewood","Rdgwd","0","QN05","QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation)","33457.788645","42549102.6731"
"4","Queens","081","QN0503","Glendale","Glndl","0","QN05","QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation)","41557.4876323","30006441.2042"
"4","Queens","081","QN0504","Middle Village","MddlVlg","0","QN05","QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation)","35018.3937272","34943402.7594"
"4","Queens","081","QN0571","Mount Olivet & All Faiths Cemeteries","MtOlvtCem","7","QN05","QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation)","19128.4474159","7646808.61888"
"4","Queens","081","QN0572","Middle Village Cemetery","MddlVlgCem","7","QN05","QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation)","10370.4604998","5511491.45757"
"4","Queens","081","QN0573","St. John Cemetery","StJhnCem","7","QN05","QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation)","11694.1569622","8754117.38138"
"4","Queens","081","QN0574","Highland Park-Cypress Hills Cemeteries (North)","CyHlsCem_N","7","QN05","QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation)","33067.8242367","31227049.5599"
"4","Queens","081","QN0601","Rego Park","RegoPk","0","QN06","QN06 Forest Hills-Rego Park (CD 6 Approximation)","26496.2223988","20193352.2373"
"4","Queens","081","QN0602","Forest Hills","FrstHls","0","QN06","QN06 Forest Hills-Rego Park (CD 6 Approximation)","36075.594579","57954644.0929"
"4","Queens","081","QN0701","College Point","CllgPt","0","QN07","QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation)","67457.4170399","66709283.5237"
"4","Queens","081","QN0702","Whitestone-Beechhurst","Whtstn","0","QN07","QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation)","44452.5139882","52637755.0603"
"4","Queens","081","QN0703","Bay Terrace-Clearview","ByTr_Clrvw","0","QN07","QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation)","32939.9932327","39319932.3991"
"4","Queens","081","QN0704","Murray Hill-Broadway Flushing","MryHl_BwyF","0","QN07","QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation)","37469.2247349","56452699.5453"
"4","Queens","081","QN0705","East Flushing","EstFlshng","0","QN07","QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation)","28376.4998965","31659931.7443"
"4","Queens","081","QN0706","Queensboro Hill","QnsboroHl","0","QN07","QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation)","30839.6996337","26427738.6792"
"4","Queens","081","QN0707","Flushing-Willets Point","Flshng","0","QN07","QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation)","30770.2721012","38534095.3821"
"4","Queens","081","QN0761","Fort Totten","FtTttn","6","QN07","QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation)","14563.7361997","6957320.85064"
"4","Queens","081","QN0791","Kissena Park","KssnPk","9","QN07","QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation)","15363.2560009","11016228.3476"
"4","Queens","081","QN0801","Kew Gardens Hills","KwGrdnsHls","0","QN08","QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation)","28291.7157376","34304348.134"
"4","Queens","081","QN0802","Pomonok-Electchester-Hillcrest","Pmnk_Hlcst","0","QN08","QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation)","28608.0405763","36974156.4278"
"4","Queens","081","QN0803","Fresh Meadows-Utopia","FrshMdws","0","QN08","QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation)","28347.5477283","33196056.452"
"4","Queens","081","QN0804","Jamaica Estates-Holliswood","JmcaEstts","0","QN08","QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation)","32386.2465352","39410596.3581"
"4","Queens","081","QN0805","Jamaica Hills-Briarwood","JmcaHls","0","QN08","QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation)","29695.3237304","27645289.3562"
"4","Queens","081","QN0871","Mount Hebron & Cedar Grove Cemeteries","MtHbrnCem","7","QN08","QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation)","15876.2583366","9208958.12309"
"4","Queens","081","QN0891","Cunningham Park","CnnghmPk","9","QN08","QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation)","28158.2100651","21304892.4211"
"4","Queens","081","QN0901","Kew Gardens","KwGrdns","0","QN09","QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation)","21653.2152421","20284899.068"
"4","Queens","081","QN0902","Richmond Hill","RchmdHl","0","QN09","QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation)","26207.750938","30269746.1627"
"4","Queens","081","QN0903","South Richmond Hill","SthRchmdHl","0","QN09","QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation)","21161.5684358","15849140.089"
"4","Queens","081","QN0904","Ozone Park (North)","OznPk_N","0","QN09","QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation)","24790.7563459","18087302.8801"
"4","Queens","081","QN0905","Woodhaven","Wdhvn","0","QN09","QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation)","21956.4208703","23727497.977"
"4","Queens","081","QN1001","South Ozone Park","SthOznPk","0","QN10","QN10 South Ozone Park-Howard Beach (CD 10 Approximation)","36690.0775064","81836593.3505"
"4","Queens","081","QN1002","Ozone Park","OznPk","0","QN10","QN10 South Ozone Park-Howard Beach (CD 10 Approximation)","25097.1962488","25107785.0156"
"4","Queens","081","QN1003","Howard Beach-Lindenwood","HwrdBch","0","QN10","QN10 South Ozone Park-Howard Beach (CD 10 Approximation)","73875.0828125","52604803.4818"
"4","Queens","081","QN1091","Spring Creek Park","SpCrkPk","9","QN10","QN10 South Ozone Park-Howard Beach (CD 10 Approximation)","28395.9685894","11848151.7014"
"4","Queens","081","QN1101","Auburndale","Abrndl","0","QN11","QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation)","39268.992231","55464055.3177"
"4","Queens","081","QN1102","Bayside","Bysd","0","QN11","QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation)","41945.5003159","70410060.1955"
"4","Queens","081","QN1103","Douglaston-Little Neck","Dglstn","0","QN11","QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation)","51882.3063635","68149460.7329"
"4","Queens","081","QN1104","Oakland Gardens-Hollis Hills","OklndGrdns","0","QN11","QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation)","33891.0995775","39634775.0414"
"4","Queens","081","QN1191","Alley Pond Park","AllyPndPk","9","QN11","QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation)","48184.4005105","26132395.8098"
"4","Queens","081","QN1201","Jamaica","Jmca","0","QN12","QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation)","41775.4560623","46828832.15"
"4","Queens","081","QN1202","South Jamaica","SthJmca","0","QN12","QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation)","33190.9473186","37866245.9683"
"4","Queens","081","QN1203","Baisley Park","BslyPk","0","QN12","QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation)","32461.2902092","47948908.3065"
"4","Queens","081","QN1204","Springfield Gardens (North)-Rochdale Village","SpfGrdns_N","0","QN12","QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation)","27779.4054352","34464288.0673"
"4","Queens","081","QN1205","St. Albans","StAlbns","0","QN12","QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation)","41392.5381713","74276849.5645"
"4","Queens","081","QN1206","Hollis","Hlls","0","QN12","QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation)","22923.7588095","24469174.7462"
"4","Queens","081","QN1301","Glen Oaks-Floral Park-New Hyde Park","GlnOks","0","QN13","QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation)","33404.1390593","45421116.0417"
"4","Queens","081","QN1302","Bellerose","Bllrs","0","QN13","QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation)","32397.5770288","55322162.0411"
"4","Queens","081","QN1303","Queens Village","QnsVlg","0","QN13","QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation)","37292.3115817","69655554.3479"
"4","Queens","081","QN1304","Cambria Heights","CmbriaHts","0","QN13","QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation)","26160.9870913","33073252.5544"
"4","Queens","081","QN1305","Laurelton","Lrltn","0","QN13","QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation)","30011.2806173","39840609.2006"
"4","Queens","081","QN1306","Springfield Gardens (South)-Brookville","SpfGrdns_S","0","QN13","QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation)","46029.1325731","57436453.1907"
"4","Queens","081","QN1307","Rosedale","Rsdl","0","QN13","QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation)","55266.0269836","47235421.8665"
"4","Queens","081","QN1371","Montefiore Cemetery","MntfrCem","7","QN13","QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation)","11843.0837057","5322023.18441"
"4","Queens","081","QN1401","Far Rockaway-Bayswater","FrRckwy","0","QN14","QN14 The Rockaways (CD 14 Approximation)","48622.4860573","60474867.0782"
"4","Queens","081","QN1402","Rockaway Beach-Arverne-Edgemere","RckwyBch","0","QN14","QN14 The Rockaways (CD 14 Approximation)","67307.1100702","50502113.2539"
"4","Queens","081","QN1403","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","BrzyPt","0","QN14","QN14 The Rockaways (CD 14 Approximation)","104333.596537","69232782.4534"
"4","Queens","081","QN1491","Rockaway Community Park","RckwyCPk","9","QN14","QN14 The Rockaways (CD 14 Approximation)","21696.3677108","8929707.5229"
"4","Queens","081","QN8081","LaGuardia Airport","LGA","8","QN80","QN80 LaGuardia Airport (JIA 80 Approximation)","45928.799336","30591950.8606"
"4","Queens","081","QN8191","Flushing Meadows-Corona Park","FlshMdwCPk","9","QN81","QN81 Flushing Meadows-Corona Park (JIA 81 Approximation)","61510.7662311","55207872.7341"
"4","Queens","081","QN8291","Forest Park","FrstPk","9","QN82","QN82 Forest Park (JIA 82 Approximation)","29485.1239276","24009736.3935"
"4","Queens","081","QN8381","John F. Kennedy International Airport","JFK","8","QN83","QN83 JFK International Airport (JIA 83 Approximation)","107123.911719","197189855.852"
"4","Queens","081","QN8491","Jamaica Bay (East)","JmcaBy_E","9","QN84","QN84 Jamaica Bay (East) (JIA 84 Approximation)","175420.883968","69920673.6052"
"4","Queens","081","QN8492","Jacob Riis Park-Fort Tilden-Breezy Point Tip","JcbRsPk","9","QN84","QN84 Jamaica Bay (East) (JIA 84 Approximation)","63381.1042486","52634576.6743"
"5","Staten Island","085","SI0101","St. George-New Brighton","StGrg","0","SI01","SI01 North Shore (CD 1 Equivalent)","31945.028276","26508980.7371"
"5","Staten Island","085","SI0102","Tompkinsville-Stapleton-Clifton-Fox Hills","Tkvl_Stptn","0","SI01","SI01 North Shore (CD 1 Equivalent)","31620.254464","24241444.6575"
"5","Staten Island","085","SI0103","Rosebank-Shore Acres-Park Hill","Rsbnk_PkHl","0","SI01","SI01 North Shore (CD 1 Equivalent)","35208.6948449","35251161.0057"
"5","Staten Island","085","SI0104","West New Brighton-Silver Lake-Grymes Hill","WstNwBrgtn","0","SI01","SI01 North Shore (CD 1 Equivalent)","55177.8673975","85358864.0628"
"5","Staten Island","085","SI0105","Westerleigh-Castleton Corners","Wstrlgh","0","SI01","SI01 North Shore (CD 1 Equivalent)","42608.1040117","76529172.3396"
"5","Staten Island","085","SI0106","Port Richmond","PrtRchmnd","0","SI01","SI01 North Shore (CD 1 Equivalent)","39708.1608207","36236920.9342"
"5","Staten Island","085","SI0107","Mariner's Harbor-Arlington-Graniteville","MrnrsHrbr","0","SI01","SI01 North Shore (CD 1 Equivalent)","71332.7003588","89389406.0034"
"5","Staten Island","085","SI0191","Snug Harbor","SngHrbr","9","SI01","SI01 North Shore (CD 1 Equivalent)","9028.40258177","3768354.87263"
"5","Staten Island","085","SI0201","Grasmere-Arrochar-South Beach-Dongan Hills","Grsmr_SBch","0","SI02","SI02 Mid-Island (CD 2 Approximation)","43110.1442808","80113159.1808"
"5","Staten Island","085","SI0202","New Dorp-Midland Beach","NwDrp_MBch","0","SI02","SI02 Mid-Island (CD 2 Approximation)","49754.8656472","62179637.0243"
"5","Staten Island","085","SI0203","Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights","TdtHl","0","SI02","SI02 Mid-Island (CD 2 Approximation)","71383.033909","186311257.985"
"5","Staten Island","085","SI0204","New Springville-Willowbrook-Bulls Head-Travis","NwSprngvl","0","SI02","SI02 Mid-Island (CD 2 Approximation)","91482.7604026","209387288.599"
"5","Staten Island","085","SI0291","Freshkills Park (North)","FrshklPk_N","9","SI02","SI02 Mid-Island (CD 2 Approximation)","44220.0768236","68178011.6523"
"5","Staten Island","085","SI0301","Oakwood-Richmondtown","Okwd_Rmtwn","0","SI03","SI03 South Shore (CD 3 Approximation)","44192.9045949","55937302.0416"
"5","Staten Island","085","SI0302","Great Kills-Eltingville","GrtKls_Evl","0","SI03","SI03 South Shore (CD 3 Approximation)","67428.0398289","116746291.767"
"5","Staten Island","085","SI0303","Arden Heights-Rossville","ArdnHts","0","SI03","SI03 South Shore (CD 3 Approximation)","38159.8607114","67773961.9895"
"5","Staten Island","085","SI0304","Annadale-Huguenot-Prince's Bay-Woodrow","Anndl_Wdrw","0","SI03","SI03 South Shore (CD 3 Approximation)","67585.202318","180426655.446"
"5","Staten Island","085","SI0305","Tottenville-Charleston","Tttnvl","0","SI03","SI03 South Shore (CD 3 Approximation)","83178.7954811","126774048.602"
"5","Staten Island","085","SI0391","Freshkills Park (South)","FrshklPK_S","9","SI03","SI03 South Shore (CD 3 Approximation)","33945.4193414","47758770.6322"
"5","Staten Island","085","SI9561","Fort Wadsworth","FtWdswrth","6","SI95","SI95 Great Kills Park-Fort Wadsworth (JIA 95 Approximation)","14814.4135523","9867248.22161"
"5","Staten Island","085","SI9591","Hoffman & Swinburne Islands","HffmnIsl","9","SI95","SI95 Great Kills Park-Fort Wadsworth (JIA 95 Approximation)","4743.12777694","635701.886652"
"5","Staten Island","085","SI9592","Miller Field","MllrFld","9","SI95","SI95 Great Kills Park-Fort Wadsworth (JIA 95 Approximation)","19197.2008558","10866804.0615"
"5","Staten Island","085","SI9593","Great Kills Park","GrtKlsPk","9","SI95","SI95 Great Kills Park-Fort Wadsworth (JIA 95 Approximation)","41465.4293799","23377915.3702"
